0,96;;Frame;Konfidenz
0,97;;1;0,96
0,97;;2;0,97
0,98;;3;0,97
0,97;;4;0,98
0,96;;5;0,97
0,94;;6;0,96
0,94;;7;0,94
0,91;;8;0,94
0,95;;9;0,91
0,94;;10;0,95
0,95;;11;0,94
0,95;;12;0,95
0,94;;13;0,95
0,94;;14;0,94
0,91;;15;0,94
0,90;;16;0,91
0,90;;17;0,90
0,92;;18;0,90
0,84;;19;0,92
0,85;;20;0,84
0,91;;21;0,85
0,88;;22;0,91
0,88;;23;0,88
0,91;;24;0,88
0,89;;25;0,91
0,85;;26;0,89
0,90;;27;0,85
0,89;;28;0,90
0,92;;29;0,89
0,92;;30;0,92
0,91;;31;0,92
0,91;;32;0,91
0,90;;33;0,91
0,89;;34;0,90
0,90;;35;0,89
0,93;;36;0,90
0,94;;37;0,93
0,95;;38;0,94
0,95;;39;0,95
0,94;;40;0,95
0,95;;41;0,94
0,94;;42;0,95
0,89;;43;0,94
0,91;;44;0,89
0,92;;45;0,91
0,94;;46;0,92
0,92;;47;0,94
0,92;;48;0,92
0,93;;49;0,92
0,94;;50;0,93
0,94;;51;0,94
0,93;;52;0,94
0,93;;53;0,93
0,94;;54;0,93
0,95;;55;0,94
0,96;;56;0,95
0,97;;57;0,96
0,97;;58;0,97
0,92;;59;0,97
0,95;;60;0,92
0,95;;61;0,95
0,96;;62;0,95
0,96;;63;0,96
0,96;;64;0,96
0,97;;65;0,96
0,96;;66;0,97
0,97;;67;0,96
0,97;;68;0,97
0,97;;69;0,97
0,98;;70;0,97
0,98;;71;0,98
0,98;;72;0,98
0,98;;73;0,98
0,97;;74;0,98
0,96;;75;0,97
0,96;;76;0,96
0,98;;77;0,96
0,98;;78;0,98
0,98;;79;0,98
0,98;;80;0,98
0,98;;81;0,98
0,97;;82;0,98
0,96;;83;0,97
0,98;;84;0,96
0,98;;85;0,98
0,98;;86;0,98
0,98;;87;0,98
0,98;;88;0,98
0,98;;89;0,98
0,97;;90;0,98
0,98;;91;0,97
0,98;;92;0,98
0,97;;93;0,98
0,97;;94;0,97
0,98;;95;0,97
0,98;;96;0,98
0,98;;97;0,98
0,97;;98;0,98
0,96;;99;0,97
94,39;Summe;100;0,96
0,94;Avg Conf;;
